Open,High,Low,Close,Date
111,112.54,110.6,111.49,21/07/2014 12:00:00 AM
112.13,112.39,108.24,109.21,22/07/2014 12:00:00 AM
110.28,110.96,105.59,107.33,23/07/2014 12:00:00 AM
107.4,109.76,106.95,108.91,24/07/2014 12:00:00 AM
108.76,110.2,106.72,107.78,25/07/2014 12:00:00 AM
108.2,109.29,106.51,107.27,28/07/2014 12:00:00 AM
107.2,108.81,106.28,108.35,30/07/2014 12:00:00 AM
107.6,109.56,107.6,108.21,31/07/2014 12:00:00 AM
107.4,109.47,106.08,107.24,01/08/2014 12:00:00 AM
107.62,108.94,107.12,108.5,04/08/2014 12:00:00 AM
108.9,109.43,107.44,108.92,05/08/2014 12:00:00 AM
108.78,108.97,107.12,107.51,06/08/2014 12:00:00 AM
107.78,108,106.02,106.49,07/08/2014 12:00:00 AM
105.12,105.34,103.31,104.27,08/08/2014 12:00:00 AM
105.98,107.06,104.72,106.76,11/08/2014 12:00:00 AM
107.5,109.64,107,109.08,12/08/2014 12:00:00 AM
108.8,109.45,107.8,109.03,13/08/2014 12:00:00 AM
109.65,109.66,107.28,108.05,14/08/2014 12:00:00 AM
107.8,112,107.7,111.8,18/08/2014 12:00:00 AM
112.62,116.06,112.62,115.5,19/08/2014 12:00:00 AM
116.1,116.8,114.81,116.58,20/08/2014 12:00:00 AM
116,117.8,114.67,114.92,21/08/2014 12:00:00 AM
115.4,117.6,115.4,116.76,22/08/2014 12:00:00 AM
117.2,118.69,114.86,115.46,25/08/2014 12:00:00 AM
113,114.84,111.35,113.54,26/08/2014 12:00:00 AM
114.47,115.2,113.3,114.77,27/08/2014 12:00:00 AM
115.2,115.4,113.14,114.33,28/08/2014 12:00:00 AM
114.6,119.52,114.6,119.32,01/09/2014 12:00:00 AM
120,122.46,119.62,121.81,02/09/2014 12:00:00 AM
122.2,125.9,122.07,125.03,03/09/2014 12:00:00 AM
124.58,125.14,122.78,123.89,04/09/2014 12:00:00 AM
124,124.95,121.37,122.32,05/09/2014 12:00:00 AM
122.88,124.4,121.94,124.03,08/09/2014 12:00:00 AM
124,125.68,123.02,125.15,09/09/2014 12:00:00 AM
124.25,124.6,122.4,124.18,10/09/2014 12:00:00 AM
124.32,125.8,124.32,125.01,11/09/2014 12:00:00 AM
124.99,126.85,124.66,126.57,12/09/2014 12:00:00 AM
125,125,119.8,120.26,15/09/2014 12:00:00 AM
118.18,119.38,114.96,115.3,16/09/2014 12:00:00 AM
116,118.6,114.33,117.23,17/09/2014 12:00:00 AM
115.87,119.27,115,118.79,18/09/2014 12:00:00 AM
118.8,119.76,116.07,116.46,19/09/2014 12:00:00 AM
117.4,118.94,116.6,118.49,22/09/2014 12:00:00 AM
118.49,119.31,116.21,116.55,23/09/2014 12:00:00 AM
115.99,116.57,112.8,113.67,24/09/2014 12:00:00 AM
112.84,113.53,108.5,109.08,25/09/2014 12:00:00 AM
107.98,115.5,107.18,114.72,26/09/2014 12:00:00 AM
115,115.18,112.5,113.71,29/09/2014 12:00:00 AM
113.6,114.38,110.85,111.7,30/09/2014 12:00:00 AM
112.1,113,110.6,111.62,01/10/2014 12:00:00 AM
111.4,112.99,109.5,110.37,07/10/2014 12:00:00 AM
109.56,111.64,109.2,110.89,08/10/2014 12:00:00 AM
112,115.98,112,115.62,09/10/2014 12:00:00 AM
114.74,115.52,112.41,114.46,10/10/2014 12:00:00 AM
113.55,117.51,113.3,117.1,13/10/2014 12:00:00 AM
117.6,119.4,116.72,117.21,14/10/2014 12:00:00 AM
116.8,120.11,115.77,117.64,16/10/2014 12:00:00 AM
116.95,120,116.44,119.6,17/10/2014 12:00:00 AM
122.32,123.54,121.24,122.77,20/10/2014 12:00:00 AM
122.82,125,122.43,124.81,21/10/2014 12:00:00 AM
125.6,126.15,123.23,124.26,22/10/2014 12:00:00 AM
124.55,125.16,123.79,124.21,23/10/2014 12:00:00 AM
124.27,129.04,123.5,128.7,27/10/2014 12:00:00 AM
128.7,129.9,126.55,128.23,28/10/2014 12:00:00 AM
128.6,129,127.1,127.7,29/10/2014 12:00:00 AM
128.37,133,127.14,132.54,30/10/2014 12:00:00 AM
133.3,137.8,133.3,136.83,31/10/2014 12:00:00 AM
137.1,137.58,135.11,135.68,03/11/2014 12:00:00 AM
135.6,137.75,132.44,134.07,05/11/2014 12:00:00 AM
134.94,136.06,133,135.26,07/11/2014 12:00:00 AM
135.98,136.3,133.74,134.94,10/11/2014 12:00:00 AM
135.1,135.92,133.85,135.33,11/11/2014 12:00:00 AM
135.87,140.9,135.8,140.14,12/11/2014 12:00:00 AM
